# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250301
# Fecha de finalización: 20250331
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
Válvula esférica PN16 HH ø63 mm (para pegar) - Vulcano SA,0.1,8,1,8,4,0,8,1,10,23
Wärmepumpe POOL-INVERTER 75 - Vulcano SA,0,0,1,1,1,0,1,0,167,1
双接头 PN16 HH ø40 mm （用于涂胶） - Vulcano SA,0,0,1,1,0,0,1,0,68,2
13 m³/h archivos - Vulcano SA,0,1,0,1,1,0,1,1,11,2
4.5W archivos - Vulcano SA,0,1,0,1,0,1,1,1,2,4
6W archivos - Vulcano SA,0.5,1,0,1,1,1,1,1,41,6
AISI 316 archivos - Vulcano SA,0,47,0,37,12,1,37,1.2702702702702702,16.81081081081081,117
Abdeckung KLASIK A - Pino - Vulcano SA,0,0,0,1,0,0,1,0,344,2
Ablandadores de agua archivos - Vulcano SA,0.0064516129032258064,164,0,146,46,6,146,1.1232876712328768,13.191780821917808,376
Abrazadera acero inoxidable - 30 mm a 50 mm - Vulcano SA,0,4,0,3,2,0,3,1.3333333333333333,9.333333333333334,9
Accesorios de Instalación - Vulcano SA,0,84,0,74,32,0,74,1.135135135135135,28.93243243243243,224
Accesorios de PVC archivos - Página 2 de 4 - Vulcano SA,0,1,0,1,1,0,1,1,0,1
Accesorios de PVC archivos - Página 3 de 4 - Vulcano SA,0,1,0,1,1,0,1,1,1,3
Accesorios de PVC archivos - Página 4 de 4 - Vulcano SA,0,2,0,2,1,0,2,1,10.5,7
Accesorios de PVC archivos - Vulcano SA,0.045454545454545456,53,0,18,8,1,18,2.9444444444444446,33.111111111111114,92
