# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250401
# Fecha de finalización: 20250430
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
Toma de fondo p/esquina (FV) - Vulcano SA,0.10526315789473684,20,4,16,8,1,16,1.25,27.4375,49
Tubo flexible PVC ø20 mm (Hidroflex) - Vulcano SA,0,8,4,7,1,2,7,1.1428571428571428,68.42857142857143,27
Tubo flexible PVC ø63 mm (Hidroflex) - Vulcano SA,0.09090909090909091,14,4,10,3,4,10,1.4,57.6,40
Válvula de retención PN16 HH ø50 mm (para pegar) - Vulcano SA,0,12,4,10,5,4,10,1.2,19.5,37
Bomba autodrenante BAD 125 - Vulcano SA,0.1111111111111111,8,3,8,5,0,8,1,18.5,21
Bomba autodrenante BAD 125 2-S - Vulcano SA,0,11,3,10,5,4,10,1.1,61.6,34
Bomba centrífuga ECM-075 - Vulcano SA,0.058823529411764705,18,3,16,5,3,16,1.125,26.5625,54
Bomba para piscina BAT 100-3 - 1.00HP 220V/380V trifásica - Vulcano SA,0.05,20,3,16,7,1,16,1.25,28,49
Bomba sopladora 400W - Vulcano SA,0,6,3,5,4,0,5,1.2,41.6,19
Bomba sumergible Q750B1 - Vulcano SA,0.07142857142857142,13,3,11,7,2,11,1.1818181818181819,21.636363636363637,34
Cascada Cisne 108* - Vulcano SA,0.16666666666666666,11,3,10,6,1,9,1.2222222222222223,27,31
Cascada Cisne 43 - Vulcano SA,0,5,3,4,1,2,4,1.25,19.5,16
Cascada Palma 46 - Vulcano SA,0.0625,18,3,13,8,5,13,1.3846153846153846,37.07692307692308,47
Cascada plástica ABS 040 (ø50) - Vulcano SA,0,9,3,7,3,0,7,1.2857142857142858,20.571428571428573,17
Easy Pool Touch 36W - Vulcano SA,0,10,3,10,5,0,10,1,73.3,26
Equipo de filtración portatil - Vulcano SA,0.024390243902439025,47,3,39,14,19,39,1.205128205128205,33.56410256410256,150
Fuente Switching 10A (120W) - Vulcano SA,0,6,3,6,1,5,6,1,66.16666666666667,25
Luminaria spot blanco LED RGB-12 FV - Vulcano SA,0,10,3,6,4,0,6,1.6666666666666667,67.5,25
Luz cascada RGB 80 cm / 8W - Vulcano SA,0.2,11,3,7,3,2,7,1.5714285714285714,106.71428571428571,34
POOL-INVERTER 25 heat pump - Vulcano SA,0.14285714285714285,0,3,4,2,0,4,0,95.75,16
POOL-INVERTER 25 热泵 - Vulcano SA,0.25,0,3,2,1,0,1,0,66,8
Pool-Inverter 110 Wärmepumpe - Vulcano SA,0,0,3,1,1,0,1,0,80,3
PowerLED 18W luz blanca 10 m - Vulcano SA,0,4,3,3,0,3,3,1.3333333333333333,19,16
"PowerLED 4,5W RGB 2,6 m - Vulcano SA",0.125,7,3,7,5,1,7,1,28.285714285714285,19
"PowerLED 6W luz azul 2,6 m - Vulcano SA",0,12,3,12,6,0,12,1,38.833333333333336,28
Unión doble PN16 HH ø50 mm (para pegar) - Vulcano SA,0.13333333333333333,12,3,12,5,7,12,1,9.166666666666666,45
"Válvula de retención PN10 2"" (para roscar) - Vulcano SA",0.1,10,3,8,3,4,8,1.25,30,37
"Válvula de retención PN10 HH 1 1/2"" (para roscar) - Vulcano SA",0.16666666666666666,5,3,5,2,0,5,1,24.8,14
Bomba autodrenante BAD 050 - Vulcano SA,0.08695652173913043,22,2,20,10,2,20,1.1,38.1,58
Bomba autodrenante BAD 075 - Vulcano SA,0,21,2,15,7,6,15,1.4,23.6,57
Bomba sumergible Q9001 - Vulcano SA,0.2,4,2,4,2,0,4,1,18.25,12
Cascada Palma 78 - Vulcano SA,0.2962962962962963,17,2,15,8,2,12,1.4166666666666667,20.833333333333332,52
Cascada plástica ABS 050 (ø50) - Vulcano SA,0.14285714285714285,7,2,6,4,2,6,1.1666666666666667,11.5,23
Fuente de alimentación sellada 100W - Vulcano SA,0.1,8,2,7,4,1,7,1.1428571428571428,13,30
Fuente de alimentación sellada 60W - Vulcano SA,0,6,2,6,1,3,6,1,15.166666666666666,19
Hidromasajeador AISI 316 p/insertar - Vulcano SA,0.18181818181818182,9,2,9,4,1,9,1,17.444444444444443,26
Luminaria para adosar BiPin 100W (LR) - Vulcano SA,0,8,2,5,1,3,5,1.6,70.6,26
Luminaria para embutir BiPin 100W (LE) - Vulcano SA,0,10,2,7,4,2,7,1.4285714285714286,42.42857142857143,30
"Manguito PN16 ø50 mm - RM 1 1/4"" (para pegar y roscar) - Vulcano SA",0,7,2,4,3,0,4,1.75,47.25,16
Modulo expansor RGB 180W - Vulcano SA,0,3,2,3,1,1,3,1,8,8
PowerLED 6W RGB 10 m - Vulcano SA,0,3,2,3,3,0,3,1,71,6
PowerLED 6W RGB 5 m - Vulcano SA,0.14285714285714285,6,2,5,4,0,5,1.2,11.2,15
PowerLED 6W luz blanca 5 m - Vulcano SA,0,10,2,8,3,3,8,1.25,11.125,29
PowerLED 9W RGB 10 m - Vulcano SA,0.2,6,2,3,2,0,3,2,19.333333333333332,16
"PowerLED 9W RGB 2,6 m - Vulcano SA",0,3,2,3,3,0,3,1,20.333333333333332,8
PowerLED 9W luz blanca 5 m - Vulcano SA,0,3,2,2,1,0,2,1.5,40,8
Skimmer mini FV - Vulcano SA,0,21,2,15,7,0,14,1.5,24.428571428571427,43
Válvula de retención PN16 HH ø63 mm (para pegar) - Vulcano SA,0,2,2,2,0,0,2,1,21.5,5
Bomba autodrenante BAD 050 2-S - Vulcano SA,0,5,1,5,3,0,5,1,9.4,10
Bomba autodrenante BAD 075 2-S - Vulcano SA,0.2,6,1,4,2,1,4,1.5,27.25,15
Bomba centrífuga ECT-100 - Vulcano SA,0.0625,15,1,15,5,1,15,1,26.266666666666666,39
