# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250601
# Fecha de finalización: 20250630
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
Bomba para piscina BAT 050 - 0.50HP 220V monofásica - Motor IT - Vulcano SA | Chile,0,1,1,1,0,0,1,1,14,4
Bomba sumergible Q2501 - Vulcano SA,0.2222222222222222,9,1,8,4,1,8,1.125,19,24
"Buje de reducción PN16 MH ø20 mm - 1/4"" (para pegar y roscar) - Vulcano SA",0.2,6,1,4,3,0,4,1.5,57.5,15
Cascada Arrecife 79 - Vulcano SA,0,11,1,10,7,1,9,1.2222222222222223,21.333333333333332,26
Cascada Palma 78 - Vulcano SA,0.047619047619047616,22,1,17,13,4,17,1.2941176470588236,56,67
"Cascada plástica ABS 050 (1 1/2"") - Vulcano SA",0.4,4,1,4,3,0,4,1,12.5,10
Cascada plástica ABS 160 (ø50) - Vulcano SA,0.125,8,1,7,2,3,7,1.1428571428571428,13.428571428571429,26
"Cascada plástica ABS 200 (1 1/2"") - Vulcano SA",0,2,1,1,1,0,1,2,5,5
Colector con salida central PN10 - PN16 ø50 mm (para pegar) - Vulcano SA,0,8,1,7,6,0,7,1.1428571428571428,20.285714285714285,18
Curva 90° PN16 HH ø40 mm (para pegar) - Vulcano SA,0,3,1,3,2,0,3,1,19.333333333333332,11
Dispensador de cloro - Vulcano SA,0,0,1,1,0,0,1,0,56,2
Equipo de filtración portatil - Vulcano SA,0.046511627906976744,41,1,38,13,22,37,1.1081081081081081,16.324324324324323,138
Filtro VC-200 para piscina - Vulcano SA | Chile,0,4,1,3,2,0,3,1.3333333333333333,25.333333333333332,12
Início - Vulcano SA,0,0,1,7,3,0,7,0,14.857142857142858,50
Luminaria spot cromado Dicroica 50W Hormigón - Vulcano SA,0,7,1,4,1,0,4,1.75,61,21
Luz cascada RGB 40 cm / 4W - Vulcano SA,0,6,1,4,0,0,4,1.5,35.25,16
