# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250501
# Fecha de finalización: 20250531
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
Fuente de alimentación sellada 60W - Vulcano SA,0,6,3,6,3,1,6,1,28.833333333333332,15
Hidromasajeador AISI 316 p/insertar - Vulcano SA,0.16666666666666666,10,3,8,5,0,8,1.25,18.75,31
Luminaria para embutir BiPin 100W (LR) - Vulcano SA,0,7,3,5,5,0,5,1.4,26.6,17
POOL-INVERTER DH 80 - Vulcano SA,0.11764705882352941,46,3,40,20,5,39,1.1794871794871795,38.07692307692308,115
PowerLED 6W luz blanca 2,6 m - Vulcano SA,0,7,3,6,6,0,6,1.1666666666666667,11,19
PowerLED 9W luz blanca 2,6 m - Vulcano SA,0,7,3,5,3,0,5,1.4,20.6,16
"Válvula de retención PN10 2"" (para roscar) - Vulcano SA,0.14285714285714285,5,3,5,3,1,5,1,24,17"
Válvula de retención PN16 HH ø50 mm (para pegar) - Vulcano SA,0.2,8,3,7,4,2,7,1.1428571428571428,41.857142857142854,27
Adhesivo para PVC N-40 x 250 ml - Vulcano SA,0.14285714285714285,6,2,6,3,1,6,1,14.333333333333334,17
Adhesivo para PVC N-40 x 500 ml - Vulcano SA,0,6,2,6,1,4,6,1,19.333333333333332,19
Bomba autodrenante BAD 050 2-S - Vulcano SA,0.2,14,2,8,6,0,8,1.75,45.875,42
Bomba autodrenante BAD 125 2-S - Vulcano SA,0.08333333333333333,12,2,9,3,1,9,1.3333333333333333,15.11111111111111,28
Bomba centrífuga ECM-075 - Vulcano SA,0.15384615384615385,11,2,10,6,3,10,1.1,57.1,34
Cascada Arrecife 79 - Vulcano SA,0,23,2,19,12,0,19,1.2105263157894737,28.57894736842105,56
Cascada plástica ABS 030 (ø50) - Vulcano SA,0.1111111111111111,8,2,7,3,0,7,1.1428571428571428,13,18
Cascada plástica ABS 040 (ø50) - Vulcano SA,0,6,2,6,3,0,6,1,11,16
Cascada plástica ABS 240 (ø50) - Vulcano SA,0.2,4,2,4,1,2,4,1,18.75,15
Easy Pool Touch 63W - Vulcano SA,0.1111111111111111,8,2,8,6,0,7,1.1428571428571428,155.28571428571428,19
Fuente Switching 5A (60W) - Vulcano SA,0,7,2,6,3,2,6,1.1666666666666667,26.833333333333332,21
Fuente Switching 8,3A (100W) - Vulcano SA,0.16666666666666666,5,2,5,4,0,5,1,16.8,13
Luminaria para embutir BiPin 100W (LE) - Vulcano SA,0,5,2,5,3,2,5,1,5.8,16
Luz cascada RGB 80 cm / 8W - Vulcano SA,0.14285714285714285,6,2,6,1,6,6,1,31.166666666666668,30
PowerLED 4,5W RGB 2,6 m - Vulcano SA,0,10,2,8,5,2,8,1.25,43.75,31
PowerLED 6W RGB 2,6 m - Vulcano SA,0,12,2,9,7,3,9,1.3333333333333333,21.444444444444443,35
PowerLED 6W luz blanca 10 m - Vulcano SA,0.2222222222222222,8,2,6,2,0,6,1.3333333333333333,79.5,21
PowerLED 9W luz blanca 5 m - Vulcano SA,0.3333333333333333,2,2,2,2,0,2,1,22,7
VC-100 Poolfilter - Vulcano SA,0,0,2,1,0,0,1,0,25,2
"Válvula esférica PN10 HH 1 1/2""(para roscar) - Vulcano SA,0,5,2,5,3,1,5,1,15.8,15"
ABL-1044 Water Softener (includes salt shaker) - Vulcano SA,0,0,1,2,0,0,2,0,37,3
Bomba centrífuga ECM-100 - Vulcano SA,0,24,1,21,4,5,21,1.1428571428571428,19.238095238095237,60
Bomba para piscina BAT 100-3 - 1.00HP 220V/380V trifásica - Vulcano SA,0.125,15,1,14,4,0,14,1.0714285714285714,49.214285714285715,40
Bomba sumergible Q2501 - Vulcano SA,0.09090909090909091,10,1,10,4,0,10,1,28.5,22
Bomba sumergible Q5501 - Vulcano SA,0,9,1,8,4,0,8,1.125,13.75,22
Bomba sumergible Q750B1 - Vulcano SA,0,22,1,18,10,3,17,1.2941176470588236,16.823529411764707,57
Bomba sumergible Q9001 - Vulcano SA,0.1,8,1,8,5,0,8,1,3,17
Carro para bomba (base de hierro) - Vulcano SA,0.058823529411764705,16,1,14,3,9,14,1.1428571428571428,17.571428571428573,55
Carro para filtro (base plástica) - Vulcano SA,0,3,1,3,1,0,3,1,57,8
Cascada Riviera 62 - Vulcano SA,0.21428571428571427,12,1,10,6,1,10,1.2,56.6,31
"Cascada plástica ABS 030 (1 1/2"") - Vulcano SA,0.14285714285714285,6,1,5,5,0,5,1.2,23.6,18"
Cascada plástica ABS 050 (ø50) - Vulcano SA,0.2727272727272727,8,1,7,6,1,7,1.1428571428571428,12,24
Colector con salida central PN10 - PN16 ø50 mm (para pegar) - Vulcano SA,0.16666666666666666,11,1,9,7,2,9,1.2222222222222223,79.77777777777777,33
Easy Pool Touch 36W - Vulcano SA,0,10,1,8,4,1,8,1.25,33.75,30
Escalera Confort 2 ABS - Vulcano SA,0,17,1,10,9,1,10,1.7,38.7,44
Escalera Confort 3 ABS - Vulcano SA,0,12,1,8,6,0,8,1.5,129.75,30
Fuente de alimentación sellada 100W - Vulcano SA,0,2,1,2,2,0,2,1,15.5,5
Fuente de alimentación sellada 150W - Vulcano SA,0,2,1,2,2,0,2,1,31,5
Fuente de alimentación sellada 30W - Vulcano SA,0,6,1,6,2,2,6,1,11.333333333333334,18
Luminaria spot blanco Dicroica 50W Hormigón - Vulcano SA,0,4,1,4,2,0,3,1.3333333333333333,13,12
Luminaria spot blanco LED RGB-12 Hormigón - Vulcano SA,0,12,1,9,5,1,9,1.3333333333333333,31.77777777777778,32
Luminaria spot cromado Dicroica 50W FV - Vulcano SA,0,4,1,2,2,0,2,2,89,10
Luz cascada RGB 40 cm / 4W - Vulcano SA,0,3,1,3,2,0,3,1,21.666666666666668,8
"Manguito PN16 ø50 mm - RM 1 1/4"" (para pegar y roscar) - Vulcano SA,0.25,3,1,3,2,0,3,1,7.333333333333333,8"
Modulo expansor RGB 180W - Vulcano SA,0.07692307692307693,14,1,10,8,1,10,1.4,20.8,36
PowerLED 18W RGB 10 m - Vulcano SA,0,2,1,2,1,0,2,1,32,5
PowerLED 6W RGB 5 m - Vulcano SA,0.14285714285714285,7,1,6,4,0,6,1.1666666666666667,20,18
PowerLED 9W luz blanca 10 m - Vulcano SA,0,3,1,3,2,0,3,1,7,7
Tapón macho PN16 ø63 mm (para pegar) - Vulcano SA,0,2,1,2,1,0,2,1,13,5
Timer Plus 36W - Vulcano SA,0.10526315789473684,16,1,14,8,3,14,1.1428571428571428,21.714285714285715,50
Tubo flexível de PVC ø25 mm (Hidroflex) - Vulcano SA,0,0,1,1,0,0,1,0,40,3
Unión doble PN16 HH ø40 mm (para pegar) - Vulcano SA,0,1,1,1,0,0,1,1,160,3
"Unión doble PN16 ø63 mm - RM 2"" (para pegar y roscar) - Vulcano SA,0,6,1,5,2,3,5,1.2,27.2,21"
Válvula esférica PN16 HH ø63 mm (para pegar) - Vulcano SA,0,2,1,2,1,0,2,1,15,5
主页 - Vulcano SA,0.05,1,1,17,5,1,17,0.058823529411764705,31.352941176470587,176
2.4 m archivos - Vulcano SA,0,1,0,1,1,0,1,1,32,4
30 W archivos - Vulcano SA,0,1,0,1,0,0,1,1,2,2
4.5W archivos - Vulcano SA,0,1,0,1,0,1,1,1,1,4
AISI 316 archivos - Vulcano SA,0,27,0,22,14,0,22,1.2272727272727273,15.045454545454545,54
Ablandadores de agua archivos - Vulcano SA,0.0106951871657754,216,0,158,61,2,158,1.3670886075949367,32.164556962025316,466
Abrazadera acero inoxidable - 30 mm a 50 mm - Vulcano SA,0,4,0,3,3,0,3,1.3333333333333333,36.666666666666664,12
